,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Bedica,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no
Bediol,yes,no,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Bell Ringer,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Belladonna,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no
Berkeley,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Berry Bomb,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Berry Noir,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes
Berry OG,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Berry White,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Bertberry Cheesecake,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Bettie Page,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Bhang 007 OG,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no
Bhang Afgoo,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no
Bhang Arjan's Strawberry Haze,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bhang Blackberry Kush,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no
Bhang Bubba Kush,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bhang Cali Orange,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Bhang Casey Jones,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes
Bhang Cheese,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Bhang ChemDawg,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Bhang Cherry Kola,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Bhang Chocolope,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
Bhang Diablo OG,no,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Bhang Durban Poison,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no
Bhang Dutch Treat,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no
Bhang Girl Scout Cookies,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no
Bhang Granddaddy Purple,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Bhang Grape Ape,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no
Bhang Harlequin,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no
Bhang Hawaiian Haze,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
Bhang Holy Grail,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Bhang Island Sweet Skunk,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no
Bhang J-1,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Bhang Jack Herer,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Bhang Juicy Fruit,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Bhang Kali Mist,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bhang King's Kush,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Bhang Lavender Kush,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
Bhang Lemon Haze,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
